X,Y,OBJECTID,TYPE,OWNED_BY,DESCR,ADDRESS,CAPACITY,longitude,latitude,CreationDate,Creator,EditDate,Editor
-80.52223633899996,43.461941515,1,INVERTED U,City of Waterloo,Uptown Waterloo South Parking Lot,115 KING ST S,2,-80.5222363389286,43.4619415152536,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.522233659999984,43.461928338,2,INVERTED U,City of Waterloo,Uptown Waterloo South Parking Lot,115 KING ST S,2,-80.5222336600857,43.4619283379101,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521647471999984,43.462088042,3,POST AND RING,City of Waterloo,King Street,115 KING ST S,2,-80.5216474717359,43.4620880419279,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.52170758699998,43.463232555000019,4,POST AND RING,City of Waterloo,King Street,80 KING ST S,2,-80.5217075866563,43.463232555292,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521802496999953,43.464009912000023,5,RING RACK,City of Waterloo,Uptown Parking Garage - Parkade,60 KING ST S,11,-80.521802497088,43.4640099115883,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521811431999936,43.464043722000014,6,RING RACK,City of Waterloo,Uptown Parking Garage - Parkade,60 KING ST S,11,-80.5218114316906,43.4640437215303,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.524755530999983,43.465926388000014,7,RING RACK,City of Waterloo,Waterloo Public Library,35 ALBERT ST,11,-80.5247555306079,43.4659263884425,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.524733899999944,43.465902392,8,RING RACK,City of Waterloo,Waterloo Public Library,35 ALBERT ST,11,-80.5247339000728,43.4659023920253,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521772324999972,43.464014921000029,9,RING RACK,City of Waterloo,Uptown Parking Garage - Parkade,60 KING ST S,11,-80.5217723250147,43.4640149205812,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521780280999963,43.464048463000012,10,RING RACK,City of Waterloo,Uptown Parking Garage - Parkade,60 KING ST S,11,-80.5217802813989,43.4640484626073,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.527058171999954,43.464473458000015,11,RING RACK,City of Waterloo,Visitor & Heritage Information Centre,10 FATHER DAVID BAUER DR,11,-80.5270581715916,43.464473457894,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.520642543999941,43.462644343000022,12,POST AND RING,Private,Region - Public Health and Social Services,99 REGINA ST S,2,-80.5206425442175,43.4626443431216,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.520641368999975,43.462654402000027,13,POST AND RING,Private,Region - Public Health and Social Services,99 REGINA ST S,2,-80.5206413694814,43.4626544023502,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.520639339999946,43.462664258000018,14,POST AND RING,Private,Region - Public Health and Social Services,99 REGINA ST S,2,-80.5206393396791,43.4626642580978,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.520637850999947,43.462673834000014,15,POST AND RING,Private,Region - Public Health and Social Services,99 REGINA ST S,2,-80.5206378510602,43.4626738342782,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.520636516999957,43.462683896000016,16,POST AND RING,Private,Region - Public Health and Social Services,99 REGINA ST S,2,-80.5206365168321,43.4626838964398,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.521169488999988,43.462006984000027,17,POST AND RING,Private,HSBC Bank - William St E,136 KING ST S,2,-80.5211694888638,43.4620069841521,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
