latitude,longitude,OBJECTID,NAME,ADDRESS,CLASS,PERMIT_HRS,SURFACE,ABBREV,ACCESSIBLE,MOTORCYCLE,PERMIT,TWOH_FREE,HOURLY,RESERVED,DESCR,CAPACITY,AREA_M,CreationDate,Creator,EditDate,Editor
43.463246,-80.52015,8,City Centre Lot,100 REGINA ST S,2 Hour Free Parking,,PAVED,CC,Y,N,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm,,1538.415087,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.463246,-80.52015,10,City Centre Lot (Reserved),100 REGINA ST S,Reserved Parking,,PAVED,CC,Y,N,Y,N,N,Y,Permit Parking Mon-Fri 8am-5pm,,3436.819651,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.464635,-80.520634,19,Station Lot (2h Free Parking),20 REGINA ST S,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm;  Overnight Parking Permitted in Park It and Leave It Spaces Only,95 Permit and Two-Hour No Charge,1520.531852,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.464635,-80.520634,20,Station Lot (Permit),20 REGINA ST S,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,95 Permit and Two-Hour No Charge,353.0700498,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.464635,-80.520634,21,Station Lot (Paul Puncher),20 REGINA ST S,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,N,N,N,Paul Puncher Permit Parking Mon-Fri 8am-6pm,95 Permit and Two-Hour No Charge,671.5452991,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.464635,-80.520634,22,Station Lot,20 REGINA ST S,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,Y,N,N,"2 Hour Free Parking Mon-Fri 8am-5pm; ""S"" Permit",95 Permit and Two-Hour No Charge,910.7877298,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.464747,-80.517774,17,Willow Lot,21 WILLOW ST,Permit Parking,,PAVED,WL,N,N,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,14 Permit,408.2694421,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.463048,-80.5198255,15,William Lot,29 WILLIAM ST E,Permit Parking,,PAVED,W,N,Y,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,30 Permit,849.3939549,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.4636901,-80.5206965,3,Regina Lot (Motorcycle Parking),30 REGINA ST S,Motorcycle Parking,,PAVED,R,Y,N,Y,N,N,N,Motorcycle Permit Parking Mon-Fri 8am-6pm,,30.23898261,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.4636901,-80.5206965,27,Regina Lot,30 REGINA ST S,Permit Parking,,PAVED,R,Y,N,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm,121 Permit,3420.058108,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
43.465426,-80.528111,2,Perimeter Lot (2h Free Parking),31 CAROLINE ST N,2 Hour Free Parking,,PAVED,PI,Y,Y,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm,,404.3666159,2015-09-23T15:33:13.915Z,OpenData_Waterloo,2015-09-23T15:33:13.915Z,OpenData_Waterloo
